Gene Name,Alternative Name,Map Position,Start(BP),ORF ID
rplW,b3318,ECK3305,f100,3255
rplD,b3319,ECK3306,eryA,3256
rplC,b3320,ECK3307,f209,3257
rpsJ,b3321,ECK3308,f103,3258
fusA,b3340,ECK3327,f704,3277
rpsG,b3341,ECK3328,f179,3278
rpsL,b3342,asuB,ECK3329,3279
trpS,b3384,ECK3371,f334,3321
yrfF,b3398,ECK3385,igaA,3335
asd,b3433,dap,ECK3419,3370
rpoH,b3461,ECK3445,fam,3398
ftsX,b3462,ECK3446,ftsS,3399
ftsE,b3463,ECK3447,JW3428,3400
ftsY,b3464,ECK3448,JW3429,3401
glyS,b3559,act,ECK3547,3495
glyQ,b3560,cfcA,ECK3548,3496
gpsA,b3608,ECK3598,JW3583,3544
waaA,b3633,ECK3623,JW3608,3569
coaD,b3634,ECK3624,JW3609,3570
rpmB,b3637,ECK3627,f78,3573
dfp,b3639,coaBC,dnaS,3575
dut,b3640,dnaS,ECK3630,3576
gmk,b3648,ECK3638,JW3623,3584
spoT,b3650,ECK3640,JW3625,3585
gyrB,b3699,acrB,Cou,3635
dnaN,b3701,ECK3693,f366,3637
dnaA,b3702,ECK3694,hsm-2,3638
rpmH,b3703,ECK3695,JW3680,3639
rnpA,b3704,ECK3696,JW3681,3640
yidC,b3705,ECK3698,JW3683,3641
glmS,b3729,ECK3722,f609,3665
glmU,b3730,ECK3723,f51,3666
trpT,b3761,ECK3755,JWR0087,64
rho,b3783,ECK3775,hdf,3712
argX,b3796,ECK3789,JWR0088,65
hisR,b3797,ECK3790,JWR0089,66
proM,b3799,ECK3792,JWR0091,68
hemD,b3804,ECK3798,JW3776,3731
hemC,b3805,ECK3799,f320,3732
hemG,b3850,ECK3842,JW3827,3776
polA,b2651,b3863,ECK3855,2608
yihA,b3865,ECK3857,engB,3785
ftsN,b3933,ECK3925,f319,3853
priA,b3935,ECK3927,f732,3855
murI,b3967,dga,ECK3959,3887
murB,b3972,ECK3964,JW3940,3888
birA,b3973,bioR,dhbB,3889
coaA,b3974,ECK3966,JW3942,3890
thrU,b3976,ECK3967,JWR0103,72
glyT,b3978,ECK3969,JWR0105,74
secE,b3981,ECK3972,JW3944,3893
nusG,b3982,ECK3973,JW3945,3894
rplJ,b3985,ECK3976,JW3948,3897
rplL,b3986,ECK3977,JW3949,3898
rpoB,b3987,ECK3978,ftsR,3899
rpoC,b3988,ECK3979,JW3951,3900
ubiA,b4040,cyr,ECK4032,3948
plsB,b4041,ECK4033,f827,3949
lexA,b4043,ECK4035,exrA,3951
dnaB,b4052,ECK4044,groP,3960
ssb,b4059,ECK4051,exrB,3967
groS,b4142,ECK4136,groES,4049
groL,b4143,ECK4137,groEL,4050
efp,b4147,ECK4141,JW4107,4054
psd,b4160,ECK4156,JW4121,4067
rsgA,b4161,ECK4157,engC,4068
orn,b4162,ECK4158,JW5740,4328
tsaE,b4168,ECK4164,JW4126,4072
rpsR,b4202,ECK4198,JW4160,4106
ppa,b4226,ECK4222,f176,4130
valS,b4258,ECK4251,f951,4162
lptF,b4261,ECK4254,JW4218,4165
lptG,b4262,ECK4255,JW5760,4166
dnaC,b4361,dnaD,ECK4351,4264
dnaT,b4362,ECK4352,f179,4265
